cellIndex,gene_name,unsplice,splice,unsplice_predict,splice_predict,alpha,beta,gamma,loss,cellID,clusters,embedding1,embedding2
0,Myo1b,0.015779631,0.06393785,0.07643479,0.061126456,0.13133444,0.6352568,0.24472053,0.1302785724401474,cell_363,Blood progenitors 2,3.4605205,15.574629
1,Myo1b,0.0,0.040616006,0.067431256,0.035667162,0.13486251,0.62747,0.24368925,0.1302785724401474,cell_382,Blood progenitors 2,2.490433,14.971734
2,Myo1b,0.0,0.021746414,0.06811507,0.019105325,0.13623014,0.6252399,0.24289884,0.1302785724401474,cell_385,Blood progenitors 2,2.3512032,15.267069
3,Myo1b,0.008970792,0.0,0.07446668,0.002806938,0.13660567,0.6257949,0.24180941,0.1302785724401474,cell_393,Blood progenitors 2,5.8990984,14.388825
4,Myo1b,0.0,0.0,0.06883845,0.0,0.1376769,0.622794,0.24194846,0.1302785724401474,cell_398,Blood progenitors 2,4.8231387,15.374831
5,Myo1b,0.06535725,0.30868885,0.097007394,0.28914064,0.10680882,0.66570324,0.26759943,0.1302785724401474,cell_407,Haematoendothelial progenitors,-0.7880276,11.991024
6,Myo1b,0.0021491547,0.05192153,0.06839259,0.04625728,0.13383926,0.6292697,0.24423206,0.1302785724401474,cell_410,Blood progenitors 1,1.2625507,13.841321
7,Myo1b,0.08605564,0.1872739,0.11458027,0.19245906,0.114596434,0.6687204,0.25191367,0.1302785724401474,cell_419,Haematoendothelial progenitors,-1.1314259,12.0036125
8,Myo1b,0.06572194,0.21176836,0.10127939,0.20652829,0.114693254,0.6630715,0.2552717,0.1302785724401474,cell_427,Haematoendothelial progenitors,-1.1670625,11.007467
9,Myo1b,0.007737431,0.076743916,0.07095735,0.0697789,0.13134554,0.6340217,0.24543619,0.1302785724401474,cell_447,Blood progenitors 2,1.8884114,14.512536
10,Myo1b,0.0,0.07131695,0.06625533,0.0625733,0.13251066,0.6312417,0.24520546,0.1302785724401474,cell_464,Blood progenitors 2,1.6932231,14.474953
